state_id,state,name,href,full_url,stop_type
1,Alabama,GOOD HOPE EXXON,location_details.php?id=1252,https://www.truckstopsandservices.com/location_details.php?id=1252,Trucker
1,Alabama,GOOD TO GO (MARATHON),location_details.php?id=10091,https://www.truckstopsandservices.com/location_details.php?id=10091,Trucker
1,Alabama,GOOSEPOND FOOD MART,location_details.php?id=10110,https://www.truckstopsandservices.com/location_details.php?id=10110,Trucker
1,Alabama,GRUB MART #13,location_details.php?id=10181,https://www.truckstopsandservices.com/location_details.php?id=10181,Trucker
1,Alabama,H&K,location_details.php?id=54375,https://www.truckstopsandservices.com/location_details.php?id=54375,Trucker
1,Alabama,HANDI-MART,location_details.php?id=10105,https://www.truckstopsandservices.com/location_details.php?id=10105,Trucker
1,Alabama,HAPPY'S CHEVRON #3,location_details.php?id=54383,https://www.truckstopsandservices.com/location_details.php?id=54383,Trucker
1,Alabama,HEADCO TRUCK STOP,location_details.php?id=1308,https://www.truckstopsandservices.com/location_details.php?id=1308,Trucker
1,Alabama,HIGHLAND HOME STAR,location_details.php?id=10178,https://www.truckstopsandservices.com/location_details.php?id=10178,Trucker
1,Alabama,HIGHWAY 431 CHEVRON,location_details.php?id=54392,https://www.truckstopsandservices.com/location_details.php?id=54392,Trucker
1,Alabama,HILL'S TRUCK STOP,location_details.php?id=10090,https://www.truckstopsandservices.com/location_details.php?id=10090,Trucker
1,Alabama,HOBO PANTRY # 6,location_details.php?id=18452,https://www.truckstopsandservices.com/location_details.php?id=18452,Trucker
1,Alabama,HOBO PANTRY #18,location_details.php?id=54397,https://www.truckstopsandservices.com/location_details.php?id=54397,Trucker
1,Alabama,HOBO PANTRY #21,location_details.php?id=54398,https://www.truckstopsandservices.com/location_details.php?id=54398,Trucker
1,Alabama,HOBO PANTRY #23,location_details.php?id=54399,https://www.truckstopsandservices.com/location_details.php?id=54399,Trucker
1,Alabama,HOBO PANTRY #24,location_details.php?id=10157,https://www.truckstopsandservices.com/location_details.php?id=10157,Trucker
1,Alabama,HOLLYWOOD TRUCK STOP,location_details.php?id=10130,https://www.truckstopsandservices.com/location_details.php?id=10130,Trucker
1,Alabama,I-20 TRUCK STOP,location_details.php?id=1383,https://www.truckstopsandservices.com/location_details.php?id=1383,Trucker
1,Alabama,I-20/59 TRAVEL CENTER,location_details.php?id=1384,https://www.truckstopsandservices.com/location_details.php?id=1384,Trucker
1,Alabama,INLAND #631,location_details.php?id=10163,https://www.truckstopsandservices.com/location_details.php?id=10163,Trucker
1,Alabama,INLAND #650,location_details.php?id=44742,https://www.truckstopsandservices.com/location_details.php?id=44742,Trucker
1,Alabama,J & J OIL (MARATHON),location_details.php?id=184,https://www.truckstopsandservices.com/location_details.php?id=184,Trucker
1,Alabama,J-MART #567,location_details.php?id=54454,https://www.truckstopsandservices.com/location_details.php?id=54454,Trucker
1,Alabama,JACKS TRUCK STOP,location_details.php?id=1441,https://www.truckstopsandservices.com/location_details.php?id=1441,Trucker
1,Alabama,JASPER FOOD MART,location_details.php?id=10133,https://www.truckstopsandservices.com/location_details.php?id=10133,Trucker
1,Alabama,JEMISON EXXON,location_details.php?id=1458,https://www.truckstopsandservices.com/location_details.php?id=1458,Trucker
1,Alabama,JET-PEP,location_details.php?id=47843,https://www.truckstopsandservices.com/location_details.php?id=47843,Trucker
1,Alabama,JOE'S GROCERY,location_details.php?id=1475,https://www.truckstopsandservices.com/location_details.php?id=1475,Trucker
1,Alabama,JP'S GENERAL STORE,location_details.php?id=44594,https://www.truckstopsandservices.com/location_details.php?id=44594,Trucker
1,Alabama,KILPATRICK QUICK MART,location_details.php?id=54472,https://www.truckstopsandservices.com/location_details.php?id=54472,Trucker
1,Alabama,LAKESIDE OIL COMPANY (TEXACO),location_details.php?id=44761,https://www.truckstopsandservices.com/location_details.php?id=44761,Trucker
1,Alabama,LILLIAN CHEVRON,location_details.php?id=10155,https://www.truckstopsandservices.com/location_details.php?id=10155,Trucker
1,Alabama,Love's Country Stores,location_details.php?id=64903,https://www.truckstopsandservices.com/location_details.php?id=64903,Trucker
1,Alabama,LOVE'S TRAVEL STOP #206,location_details.php?id=1869,https://www.truckstopsandservices.com/location_details.php?id=1869,Trucker
1,Alabama,LOVE'S TRAVEL STOP #225,location_details.php?id=22287,https://www.truckstopsandservices.com/location_details.php?id=22287,Trucker
1,Alabama,LOVE'S TRAVEL STOP #227,location_details.php?id=15473,https://www.truckstopsandservices.com/location_details.php?id=15473,Trucker
1,Alabama,LOVE'S TRAVEL STOP #304,location_details.php?id=1910,https://www.truckstopsandservices.com/location_details.php?id=1910,Trucker
1,Alabama,LOVE'S TRAVEL STOP #368,location_details.php?id=14733,https://www.truckstopsandservices.com/location_details.php?id=14733,Trucker
1,Alabama,LOVE'S TRAVEL STOP #381,location_details.php?id=14735,https://www.truckstopsandservices.com/location_details.php?id=14735,Trucker
1,Alabama,LOVE'S TRAVEL STOP #466,location_details.php?id=37252,https://www.truckstopsandservices.com/location_details.php?id=37252,Trucker
1,Alabama,LOVE'S TRAVEL STOP #530,location_details.php?id=47838,https://www.truckstopsandservices.com/location_details.php?id=47838,Trucker
1,Alabama,LOVE'S TRAVEL STOP #566,location_details.php?id=47840,https://www.truckstopsandservices.com/location_details.php?id=47840,Trucker
1,Alabama,LOVE'S TRAVEL STOP #577,location_details.php?id=47848,https://www.truckstopsandservices.com/location_details.php?id=47848,Trucker
1,Alabama,LOVE'S TRAVEL STOP #580,location_details.php?id=47839,https://www.truckstopsandservices.com/location_details.php?id=47839,Trucker
1,Alabama,LOVE'S TRAVEL STOP #624,location_details.php?id=47846,https://www.truckstopsandservices.com/location_details.php?id=47846,Trucker
1,Alabama,LOVE'S TRAVEL STOP #718,location_details.php?id=47851,https://www.truckstopsandservices.com/location_details.php?id=47851,Trucker
1,Alabama,LOVE'S TRAVEL STOP #773,location_details.php?id=52044,https://www.truckstopsandservices.com/location_details.php?id=52044,Trucker
1,Alabama,LOVE'S TRAVEL STOP #774,location_details.php?id=52876,https://www.truckstopsandservices.com/location_details.php?id=52876,Trucker
